[00:17:16]: Center of circle found at (760, 260).
[00:17:17]: Center of circle found at (760, 260).
[00:17:22]: Center of circle found at (760, 240).
[00:17:22]: Center of circle found at (740, 240).
[00:17:22]: Center of circle found at (740, 220).
[00:17:23]: Center of circle found at (740, 200).
[00:17:23]: Center of circle found at (740, 180).
[00:17:23]: Center of circle found at (740, 160).
[00:17:23]: Center of circle found at (740, 140).
[00:17:23]: Center of circle found at (760, 140).
[00:17:23]: Center of circle found at (780, 140).
[00:17:24]: Center of circle found at (800, 140).
[00:17:24]: Center of circle found at (820, 140).
[00:17:24]: Center of circle found at (840, 140).
[00:17:24]: Center of circle found at (860, 140).
[00:17:24]: Center of circle found at (880, 140).
[00:17:24]: Center of circle found at (900, 140).
[00:17:24]: Center of circle found at (900, 160).
[00:17:24]: Center of circle found at (900, 180).
[00:17:24]: Center of circle found at (900, 200).
[00:17:24]: Center of circle found at (900, 220).
[00:17:24]: Center of circle found at (900, 240).
[00:17:24]: Center of circle found at (900, 260).
[00:17:24]: Center of circle found at (900, 280).
[00:17:24]: Center of circle found at (900, 300).
[00:17:24]: Center of circle found at (900, 320).
[00:17:24]: Center of circle found at (920, 320).
[00:17:30]: Center of circle found at (920, 320).
[00:17:30]: Exited successfully.
